IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）,地区码,端口
85.215.56.126,4,4,0,231.29,15.92,FRA,443
87.106.39.39,4,4,0,205.38,15.92,TXL,443
64.238.203.12,4,4,0,228.62,15.9,FRA,8443
3.68.31.54,4,4,0,187.75,15.9,FRA,443
80.253.251.183,4,4,0,213.11,15.89,FRA,443
64.238.203.118,4,4,0,212.18,15.85,FRA,8443
45.129.78.69,4,4,0,179,15.85,FRA,2053
5.199.133.190,4,4,0,197.06,15.85,DUS,2087
179.61.132.245,4,4,0,196.18,15.84,FRA,8443
64.238.203.68,4,4,0,217.25,15.83,FRA,8443
46.203.233.242,4,4,0,198.65,15.78,FRA,443
194.164.192.16,4,4,0,214.88,15.76,TXL,443
18.192.93.64,4,4,0,166.85,15.75,FRA,443
94.159.105.19,4,4,0,177,15.73,FRA,8443
64.238.203.106,4,4,0,212.95,15.65,FRA,8443
94.159.98.140,4,4,0,170.61,15.6,FRA,443
18.197.218.69,4,4,0,170.61,15.48,FRA,443
209.38.221.121,4,4,0,255.02,15.36,FRA,2096
91.239.157.91,4,4,0,210.76,15.27,FRA,8443
14.102.229.57,4,3,0.25,246.63,15.27,LAX,2096
94.159.102.107,4,4,0,158.93,15.23,FRA,8443
45.147.228.249,4,4,0,257.37,15.23,FRA,443
64.238.203.119,4,4,0,217.56,15.21,FRA,8443
193.23.210.225,4,4,0,175.42,15.2,FRA,8443
95.179.250.68,4,4,0,167.99,15.18,FRA,443
158.101.183.27,4,4,0,196.78,15.14,FRA,443
64.238.203.66,4,4,0,191.08,15.11,FRA,8443
18.159.105.97,4,4,0,171.4,15.1,FRA,443
62.60.216.204,4,4,0,265.19,15.08,FRA,443
103.13.211.113,4,4,0,237.43,15.03,FRA,8443
104.248.17.101,4,4,0,248.85,14.9,FRA,443
64.238.203.108,4,4,0,217.25,14.89,FRA,8443
64.238.203.114,4,4,0,226.8,14.84,FRA,8443
194.247.187.244,4,4,0,217.83,14.82,FRA,443
193.37.70.98,4,4,0,240.62,14.81,FRA,2053
31.169.127.69,4,4,0,265.6,14.79,FRA,443
91.199.118.212,4,4,0,223.25,14.7,FRA,8443
64.238.203.73,4,4,0,195.21,14.68,FRA,8443
89.40.117.130,4,4,0,249.54,14.67,FRA,443
45.132.1.102,4,4,0,234.31,14.64,FRA,8443
64.238.203.115,4,4,0,206.32,14.63,FRA,8443
194.247.186.117,4,4,0,186.36,14.61,FRA,8443
193.37.70.230,4,4,0,263.8,14.6,FRA,2053
87.120.92.150,4,4,0,255.66,14.54,FRA,8443
91.239.157.90,4,4,0,223.92,14.52,FRA,8443
64.238.203.13,4,4,0,203.12,14.5,FRA,8443
64.238.203.117,4,4,0,214.16,14.49,FRA,8443
178.20.209.70,4,4,0,239.08,14.49,FRA,443
194.164.59.222,4,4,0,216.03,14.47,TXL,443
31.57.241.56,4,4,0,183.2,14.45,FRA,443
195.58.39.52,4,4,0,256.6,14.44,FRA,443
5.39.249.10,4,4,0,282.86,14.43,FRA,8443
64.238.203.105,4,4,0,220.92,14.43,FRA,8443
164.92.132.232,4,4,0,262.16,14.42,FRA,8443
5.187.4.103,4,4,0,181.2,14.37,FRA,2053
185.100.159.170,4,4,0,194.47,14.36,FRA,443
188.95.65.34,4,4,0,221.12,14.33,FRA,8443
87.106.141.152,4,4,0,205.58,14.32,TXL,2053
195.26.231.53,4,4,0,183.31,14.32,FRA,8443
193.23.218.121,4,4,0,177.05,14.31,FRA,443
178.250.187.110,4,4,0,237.03,14.27,FRA,443
64.238.203.107,4,4,0,210.41,14.27,FRA,8443
64.238.203.78,4,4,0,222.61,14.24,FRA,8443
159.65.122.67,4,4,0,245.23,14.24,FRA,2053
113.30.190.244,4,4,0,226.56,14.22,FRA,8443
93.152.217.80,4,4,0,315.74,14.19,FRA,443
94.125.101.247,4,4,0,261,14.18,FRA,443
91.239.157.210,4,4,0,205.61,14.11,FRA,8443
64.238.203.67,4,4,0,209.15,14.1,FRA,8443
195.58.38.95,4,4,0,265.86,14.09,FRA,443
64.238.203.11,4,4,0,206.12,14.08,FRA,8443
64.238.203.69,4,4,0,198.03,14.05,FRA,8443
103.13.211.113,4,4,0,242.18,14.05,FRA,8443
147.45.197.233,4,4,0,271.03,14.05,FRA,8443
64.226.111.107,4,4,0,254.56,14.04,FRA,443
188.95.65.38,4,4,0,216.44,14,FRA,8443
45.129.242.96,4,4,0,196.87,13.99,DUS,443
62.133.60.66,4,4,0,211.37,13.97,FRA,8443
109.122.198.127,4,4,0,265.44,13.96,FRA,443
92.119.90.67,4,4,0,200.71,13.96,FRA,8443
92.119.90.67,4,4,0,187.37,13.96,FRA,8443
64.238.203.102,4,4,0,206.05,13.95,FRA,8443
141.147.63.154,4,4,0,224.59,13.94,FRA,443
103.228.168.80,4,4,0,186,13.94,FRA,8443
64.238.203.100,4,4,0,203.68,13.92,FRA,8443
64.238.203.75,4,4,0,200.22,13.91,FRA,8443
164.92.139.175,4,4,0,253.86,13.91,FRA,18443
93.123.84.250,4,4,0,194.9,13.9,FRA,443
87.251.77.76,4,4,0,235.27,13.83,FRA,443
94.159.99.172,4,4,0,156.83,13.82,FRA,443
91.228.154.170,4,4,0,194.31,13.82,FRA,2053
94.159.96.182,4,4,0,174.17,13.81,FRA,8443
77.105.132.157,4,4,0,270.2,13.8,FRA,8443
103.228.171.5,4,4,0,202.27,13.78,FRA,8443
87.251.86.199,4,4,0,289.41,13.77,FRA,443
94.159.104.38,4,4,0,157.92,13.75,FRA,8443
31.172.71.51,4,4,0,207.32,13.73,FRA,444
64.238.203.126,4,4,0,200.36,13.68,FRA,8443
31.172.72.21,4,4,0,170.16,13.68,FRA,2053
94.159.97.247,4,4,0,168.03,13.65,FRA,443
94.228.161.238,4,4,0,269.59,13.64,FRA,443
94.159.96.182,4,4,0,173.25,13.64,FRA,8443
94.159.103.100,4,4,0,167.03,13.62,FRA,443
5.187.3.181,4,4,0,205.18,13.58,FRA,8443
94.159.98.23,4,4,0,170.12,13.54,FRA,2053
167.172.101.156,4,4,0,258.28,13.54,FRA,443
94.159.104.182,4,4,0,168.1,13.53,FRA,443
64.238.203.70,4,4,0,212.97,13.52,FRA,8443
94.159.105.148,4,4,0,144.96,13.52,FRA,443
79.132.143.192,4,4,0,175.62,13.51,FRA,8443
94.159.96.228,4,4,0,153.32,13.51,FRA,443
94.159.99.246,4,4,0,186.19,13.5,FRA,8443
62.60.217.42,4,4,0,255.66,13.48,FRA,443
94.159.97.192,4,4,0,181.88,13.48,FRA,443
